,id,X,Y,
214,247,212500,9848300,549
215,259,211531,9847199,549
216,285,213000,9848500,549
217,294,212100,9848600,549
218,363,212690,9849295,549
219,365,210200,9849100,549
220,444,210600,9849900,549
221,3,191267,9851097,584
222,13,192447,9850476,584
223,16,192717,9851580,584
224,18,193500,9851100,584
225,28,193522,9852005,584
226,43,192400,9852200,584
227,51,191500,9852500,584
228,67,192500,9853500,584
229,70,190700,9853600,584
230,71,191400,9853600,584
231,3,200300,9851200,586
232,5,200700,9852500,586
233,7,199700,9852600,586
234,11,200300,9852900,586
235,17,201358,9851885,586
236,24,199800,9853600,586
237,37,198930,9851631,586
238,44,200172,9850806,586
239,49,198830,9853302,586
240,56,200487,9850160,586
241,3,208600,9850700,588
242,5,206300,9851100,588
243,7,208800,9851600,588
244,27,208300,9852500,588
245,53,208185,9850189,588
246,65,207716,9852357,588
247,86,206299,9851575,588
248,88,209305,9852459,588
249,95,207057,9853133,588
250,117,208185,9853499,588
