"","layer","level","class","id","metric","value","plot_id","percentage_inside"
"1",1,"class",6,NA,"pland",0.466493226877187,66,62.7914798646492
"2",1,"class",33,NA,"pland",99.5335067731228,66,62.7914798646492
"3",1,"class",6,NA,"pland",0.24906600249066,74,76.8620227957264
"4",1,"class",9,NA,"pland",0.00732547066149,74,76.8620227957264
"5",1,"class",11,NA,"pland",0.25639147315215,74,76.8620227957264
"6",1,"class",12,NA,"pland",0.5127829463043,74,76.8620227957264
"7",1,"class",33,NA,"pland",98.9744341073914,74,76.8620227957264
"8",1,"class",6,NA,"pland",1.06649937264743,76,62.8186056064338
"9",1,"class",11,NA,"pland",0.11650833482703,76,62.8186056064338
"10",1,"class",12,NA,"pland",0.0627352572145546,76,62.8186056064338
"11",1,"class",22,NA,"pland",0.0179243592041585,76,62.8186056064338
"12",1,"class",33,NA,"pland",98.7363326761068,76,62.8186056064338
"13",1,"class",6,NA,"pland",0.0902364194188775,112,62.4039775194236
"14",1,"class",11,NA,"pland",0.00902364194188775,112,62.4039775194236
"15",1,"class",12,NA,"pland",0.342898393791734,112,62.4039775194236
"16",1,"class",22,NA,"pland",0.00902364194188775,112,62.4039775194236
"17",1,"class",33,NA,"pland",98.6825482764844,112,62.4039775194236
"18",1,"class",41,NA,"pland",0.866269626421224,112,62.4039775194236
"19",1,"class",6,NA,"pland",0.149857635246516,115,75.1407608259884
"20",1,"class",11,NA,"pland",0.224786452869774,115,75.1407608259884
"21",1,"class",12,NA,"pland",0.217293571107448,115,75.1407608259884
"22",1,"class",22,NA,"pland",0.00749288176232579,115,75.1407608259884
"23",1,"class",33,NA,"pland",99.4005694590139,115,75.1407608259884
"24",1,"class",6,NA,"pland",2.45257220987865,143,65.9297979868565
"25",1,"class",11,NA,"pland",0.170910955392241,143,65.9297979868565
"26",1,"class",12,NA,"pland",0.282003076397197,143,65.9297979868565
"27",1,"class",13,NA,"pland",0.00854554776961203,143,65.9297979868565
"28",1,"class",15,NA,"pland",0.333276363014869,143,65.9297979868565
"29",1,"class",19,NA,"pland",0.00854554776961203,143,65.9297979868565
"30",1,"class",33,NA,"pland",96.2826867202188,143,65.9297979868565
"31",1,"class",41,NA,"pland",0.46145957955905,143,65.9297979868565
"32",1,"class",6,NA,"pland",0.478428739298305,145,67.1160334398735
"33",1,"class",11,NA,"pland",0.0671478932348498,145,67.1160334398735
"34",1,"class",19,NA,"pland",0.00839348665435622,145,67.1160334398735
"35",1,"class",33,NA,"pland",99.3201275809972,145,67.1160334398735
"36",1,"class",41,NA,"pland",0.125902299815343,145,67.1160334398735
"37",1,"class",6,NA,"pland",0.0610562735321054,150,55.3430690247174
"38",1,"class",11,NA,"pland",0.0712323191207897,150,55.3430690247174
"39",1,"class",33,NA,"pland",99.8677114073471,150,55.3430690247174
"40",1,"class",6,NA,"pland",0.655712412250251,186,73.0210779853592
"41",1,"class",11,NA,"pland",0.0462855820411942,186,73.0210779853592
"42",1,"class",12,NA,"pland",0.0385713183676618,186,73.0210779853592
"43",1,"class",33,NA,"pland",99.2594306873409,186,73.0210779853592
"44",1,"class",6,NA,"pland",0.331999659487529,189,66.1597485372871
"45",1,"class",11,NA,"pland",0.0766153060355836,189,66.1597485372871
